Date,Log
08.05.2020,"65926,GameB,57,1,1.099675"
08.05.2020,"71149,GameA,33,1,0.06575499"
08.05.2020,"71149,GameA,34,1,0.100165"
08.05.2020,"65926,GameB,60,1,0.13318"
08.05.2020,"71149,GameA,35,1,0.149575"
08.05.2020,"71149,GameA,36,1,0.03306"
08.05.2020,"65926,GameB,62,1,0.9164351"
08.05.2020,"65926,GameB,63,1,1.34969"
08.05.2020,"65926,GameB,64,1,0.94954"
08.05.2020,"71149,GameA,40,1,0.050005"
08.05.2020,"65926,GameB,65,0,1.15017"
08.05.2020,"71149,GameA,41,1,0.09958"
08.05.2020,"65926,GameB,66,1,0.7164649"
08.05.2020,"71149,GameA,42,1,0.08417"
08.05.2020,"71149,GameA,43,1,0.23303"
08.05.2020,"65926,GameB,69,0,1.132975"
08.05.2020,"71149,GameA,44,1,0.08315"
08.05.2020,"65926,GameB,70,0,1.1496"
08.05.2020,"71149,GameA,45,1,0.067075"
08.05.2020,"65926,GameB,71,1,0.9168501"
08.05.2020,"65926,GameB,72,1,2.06603"
08.05.2020,"65926,GameB,73,0,1.215245"
08.05.2020,"65926,GameB,74,0,1.816045"
08.05.2020,"71149,GameB,2,0,0.01761"
08.05.2020,"71149,GameB,3,0,0.01716"
08.05.2020,"71149,GameB,4,0,0.05026"
08.05.2020,"71149,GameB,5,0,0.133285"
08.05.2020,"71149,GameB,6,1,0.08297"
08.05.2020,"65926,GameC,0,2,1.882585"
08.05.2020,"71149,GameB,7,1,0.11681"
08.05.2020,"65926,GameC,1,0,2.882391"
08.05.2020,"71149,GameB,9,0,0.08276001"
08.05.2020,"65926,GameC,3,0,1.466485"
08.05.2020,"71149,GameB,11,0,0.184055"
08.05.2020,"71149,GameB,12,0,0.08357"
08.05.2020,"65926,GameC,4,3,4.865152"
08.05.2020,"71149,GameB,14,0,0.09969001"
08.05.2020,"71149,GameB,15,1,0.16645"
08.05.2020,"71149,GameB,16,1,0.133185"
08.05.2020,"65926,GameC,6,3,1.666275"
08.05.2020,"71149,GameB,17,0,0.033815"
08.05.2020,"65926,GameC,7,0,1.94939"
08.05.2020,"65926,GameC,8,2,1.133215"
08.05.2020,"65926,GameC,9,3,1.199545"
08.05.2020,"71149,GameB,21,1,0.032515"
08.05.2020,"65926,GameC,10,2,1.18248"
08.05.2020,"71149,GameB,22,0,0.032895"
08.05.2020,"65926,GameC,11,0,1.83283"
08.05.2020,"71149,GameB,23,1,0.01642"
08.05.2020,"71149,GameB,24,1,0.03357"
08.05.2020,"71149,GameB,25,1,0.15058"
08.05.2020,"71149,GameB,26,1,0.08374"
08.05.2020,"65926,GameC,15,2,2.447065"
08.05.2020,"71149,GameB,28,1,0.2159"
08.05.2020,"65926,GameC,16,1,1.949235"
08.05.2020,"71149,GameB,29,0,0.04986"
08.05.2020,"65926,GameC,17,0,1.34961"
08.05.2020,"71149,GameB,30,1,0.0496"
08.05.2020,"71149,GameB,31,1,0.09999"
08.05.2020,"65926,GameC,19,1,1.63265"
08.05.2020,"71149,GameB,32,1,0.100355"
08.05.2020,"71149,GameB,33,1,0.09999499"
08.05.2020,"71149,GameB,34,1,2.482649"
08.05.2020,"71149,GameB,35,0,0.11704"
08.05.2020,"65926,GameC,22,0,2.0659"
08.05.2020,"71149,GameB,36,1,0.26631"
08.05.2020,"65926,GameC,23,3,2.482475"
08.05.2020,"71149,GameB,38,0,0.11695"
08.05.2020,"65926,GameC,24,1,1.43293"
08.05.2020,"71149,GameB,39,0,0.01636"
08.05.2020,"71149,GameB,40,1,0.014775"
08.05.2020,"65926,GameC,26,2,1.34895"
08.05.2020,"71149,GameB,41,0,0.016025"
08.05.2020,"71149,GameB,42,1,0.18346"
08.05.2020,"65926,GameC,27,1,2.766145"
08.05.2020,"71149,GameB,43,1,0.0836"
08.05.2020,"71149,GameB,44,0,1.38368"
08.05.2020,"71149,GameB,45,0,0.116345"
08.05.2020,"65926,GameC,30,0,1.91623"
08.05.2020,"71149,GameB,47,0,0.200245"
08.05.2020,"65926,GameC,31,1,1.21629"
08.05.2020,"71149,GameB,48,0,0.16761"
08.05.2020,"65926,GameC,32,3,1.43283"
08.05.2020,"65926,GameC,33,0,1.5164"
08.05.2020,"65926,GameC,34,3,1.38237"
08.05.2020,"71149,GameB,50,0,0.033415"
08.05.2020,"65926,GameC,35,1,2.98209"
08.05.2020,"71149,GameB,51,0,0.01645"
08.05.2020,"65926,GameC,37,1,1.56519"
08.05.2020,"65926,GameC,38,2,1.599685"
08.05.2020,"65926,GameC,39,3,1.382655"
08.05.2020,"71149,GameB,53,0,0.015985"
08.05.2020,"65926,GameC,40,2,2.032705"
08.05.2020,"65926,GameC,41,3,1.89941"
08.05.2020,"71149,GameB,55,1,0.01603"
08.05.2020,"71149,GameB,56,0,0.18308"
08.05.2020,"71149,GameB,57,0,0.016435"
08.05.2020,"71149,GameB,58,1,0.06841"
08.05.2020,"71149,GameB,59,1,0.05045"
08.05.2020,"71149,GameB,60,0,0.01823"
08.05.2020,"71149,GameB,61,1,0.10025"
08.05.2020,"71149,GameB,62,1,0.050445"
08.05.2020,"71149,GameB,63,0,0.016395"
08.05.2020,"71149,GameB,64,0,0.082805"
08.05.2020,"71149,GameB,65,0,0.11982"
08.05.2020,"71149,GameB,66,0,0.099795"
08.05.2020,"71149,GameB,67,0,0.10007"
08.05.2020,"71149,GameB,68,0,0.017225"
08.05.2020,"71149,GameB,69,1,0.09926499"
08.05.2020,"71149,GameB,70,0,0.0504"
08.05.2020,"71149,GameB,71,1,0.26629"
08.05.2020,"71149,GameB,72,0,0.04986"
08.05.2020,"71149,GameB,73,0,0.138355"
08.05.2020,"71149,GameB,74,0,0.133435"
08.05.2020,"71149,GameC,0,1,0.6665151"
08.05.2020,"71149,GameC,1,1,0.182695"
08.05.2020,"71149,GameC,2,1,0"
08.05.2020,"71149,GameC,3,1,0.200065"
08.05.2020,"71149,GameC,4,1,0"
08.05.2020,"71149,GameC,5,1,0.032835"
08.05.2020,"71149,GameC,6,1,0.04966"
08.05.2020,"71149,GameC,7,1,0.032865"
08.05.2020,"71149,GameC,8,1,0.083415"
08.05.2020,"71149,GameC,9,1,0.06667"
08.05.2020,"71149,GameC,10,1,0.0505"
08.05.2020,"71149,GameC,11,1,0"
08.05.2020,"71149,GameC,12,1,0.049995"
08.05.2020,"71149,GameC,13,1,0.200465"
08.05.2020,"71149,GameC,14,1,0.11606"
08.05.2020,"16134,Q,0,2,5.351331"
08.05.2020,"71149,GameC,16,1,0.05059"
08.05.2020,"16134,Q,2,4,5.351331"
08.05.2020,"71149,GameC,17,1,0.01664"
08.05.2020,"16134,Q,4,3,1.500985"
08.05.2020,"16134,Q,5,3,2.76545"
08.05.2020,"71149,GameC,18,1,0.049615"
08.05.2020,"16134,Q,6,3,1.583585"
08.05.2020,"71149,GameC,19,1,0"
08.05.2020,"16134,Q,8,3,1.634025"
08.05.2020,"71149,GameC,20,1,0.283135"
08.05.2020,"16134,Q,10,3,1.91679"
08.05.2020,"71149,GameC,21,1,0.066595"
08.05.2020,"71149,GameC,22,1,0.083115"
08.05.2020,"71149,GameC,23,1,0.08414999"
08.05.2020,"16134,GameA,0,0,1.73424"
08.05.2020,"71149,GameC,25,1,0.11657"
08.05.2020,"16134,GameA,2,0,0.34903"
08.05.2020,"71149,GameC,26,1,0.04931"
08.05.2020,"16134,GameA,4,3,0.18289"
08.05.2020,"71149,GameC,27,1,0.13292"
08.05.2020,"16134,GameA,6,1,0.11616"
08.05.2020,"71149,GameC,28,1,0.05051"
08.05.2020,"16134,GameA,8,2,0.5164199"
08.05.2020,"71149,GameC,29,1,0.16659"
08.05.2020,"16134,GameA,10,3,0.365625"
08.05.2020,"71149,GameC,30,1,0.20028"
08.05.2020,"16134,GameA,12,1,0.36555"
08.05.2020,"16134,GameA,13,3,0.3658899"
08.05.2020,"16134,GameA,14,1,0.7813999"
08.05.2020,"71149,GameC,32,1,0.03304"
08.05.2020,"16134,GameA,16,2,0.3173"
08.05.2020,"71149,GameC,33,1,0.04997"
08.05.2020,"16134,GameA,18,2,0.333605"
08.05.2020,"71149,GameC,34,1,0.016965"
08.05.2020,"16134,GameA,20,3,0.54946"
08.05.2020,"71149,GameC,35,1,0.016635"
08.05.2020,"16134,GameA,22,1,0.03272"
08.05.2020,"71149,GameC,36,1,0.03289"
