30042,40817,43005,46161,46539,63742,64622,74788,77104,82695
1,2,3,3,1,2,1,3,3,3
3,2,2,,,2,3,3,1,2
1,2,2,,3,2,1,2,2,2
3,3,3,3,2,2,1,2,2,2
2,3,2,3,2,2,3,2,2,2
2,2,2,2,2,2,3,2,2,2
2,2,2,2,2,3,2,2,2,2
2,2,2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,3,3,2,2,2,2
2,2,2,2,1,2,2,2,2,2
2,3,3,2,2,2,3,2,2,2
3,3,3,2,1,2,3,3,3,3
3,3,3,3,2,3,3,3,3,3
3,3,3,3,1,2,3,3,3,3
3,3,3,3,3,2,3,3,3,3
3,3,3,3,2,1,3,3,3,3
3,3,3,3,3,2,3,3,3,3
3,3,3,3,3,2,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,2,3
2,1,2,1,1,1,2,2,3,2
1,1,1,1,1,1,3,1,2,1
1,1,1,1,1,1,2,1,1,1
1,1,1,1,3,1,1,1,1,1
1,1,1,1,3,1,1,1,1,1
1,2,1,1,3,1,1,2,2,1
3,2,3,1,3,3,2,2,1,2
3,3,3,,3,3,3,3,2,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,1,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
2,2,2,3,2,1,2,2,1,1
2,2,2,3,2,2,2,2,3,2
2,2,2,,3,2,2,2,3,2
2,2,2,2,2,2,2,2,1,2
2,2,2,2,1,2,2,2,1,2
2,2,2,2,2,2,2,2,2,2
3,3,3,2,3,1,1,3,3,3
3,3,3,,1,3,3,2,3,3
3,3,3,,3,3,3,3,3,3
3,3,3,,1,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,1,3,3,3,3,3
2,2,3,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2
2,2,2,,2,2,2,2,2,2
2,2,2,1,2,1,2,2,1,2
2,2,2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,,2,2,2,2,2,2
1,2,1,,2,1,2,1,2,2
3,3,3,3,3,3,2,3,1,3
3,3,3,3,3,3,3,1,3,3
3,3,3,3,1,1,3,2,3,3
3,3,3,3,2,1,3,3,3,3
3,3,3,3,2,3,3,3,3,3
1,3,3,3,1,3,3,3,2,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,2,2,3,3,3,3,3
2,2,1,3,1,2,3,3,2,3
1,1,2,1,2,1,1,1,1,1
1,1,3,1,2,1,1,3,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1
1,1,2,1,3,3,1,1,1,1
1,1,1,1,3,1,1,1,1,1
2,2,2,2,2,2,2,3,2,2
2,2,2,2,2,3,2,2,3,2
2,2,3,2,2,2,2,1,1,2
2,2,2,2,2,3,2,1,1,2
2,2,2,2,2,3,2,1,3,2
2,2,1,2,2,1,2,2,1,2
2,2,2,2,2,2,2,3,2,2
2,2,2,2,1,2,2,3,3,2
2,2,2,2,2,2,2,3,1,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,1,1,2,2,1,2
2,2,2,2,2,2,2,3,1,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,1,3,3,3,3
1,1,3,2,1,1,1,2,1,2
3,3,1,,3,3,3,3,3,3
2,2,1,,1,3,2,1,1,2
2,3,2,2,2,2,2,2,2,2
3,3,3,2,1,3,1,1,2,2
3,3,3,2,2,3,3,2,2,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,1,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,2
3,3,1,3,1,3,3,1,3,3
3,2,3,3,3,3,3,3,3,3
2,1,1,3,1,2,2,3,2,2
2,1,1,1,1,1,2,3,2,1
1,1,1,1,1,1,3,1,2,1
1,1,1,1,1,1,1,1,2,1
1,1,1,2,1,2,1,1,2,1
1,1,1,1,1,3,1,1,2,1
1,1,1,1,2,2,1,1,2,1
1,1,1,1,1,1,1,1,2,1
2,1,1,1,1,2,1,1,2,1
1,1,2,1,1,2,1,2,2,1
1,1,1,,3,3,1,1,3,1
1,1,1,,1,1,1,1,2,1
1,1,1,1,2,3,1,3,3,1
1,1,2,1,1,1,1,1,1,1
2,2,2,3,2,2,3,2,2,2
2,2,2,2,2,2,3,2,2,2
2,2,2,2,2,2,1,2,1,2
2,2,2,2,3,2,2,2,3,2
2,2,2,2,3,2,2,2,1,2
2,2,2,2,1,2,2,2,2,2
2,2,2,,2,2,2,2,2,2
2,2,3,,2,2,2,2,2,2
2,2,2,,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,3,3,2,2,2,2,3,3,2
2,1,2,2,2,2,2,2,1,2
2,3,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,1,2
2,3,2,2,3,2,2,1,2,2
3,3,3,3,2,1,1,2,2,3
3,3,3,3,2,3,1,3,3,3
3,3,3,3,1,2,2,1,1,3
3,3,3,3,2,3,1,1,3,3
3,3,3,3,3,3,3,2,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,1,3,3,3,3,3
3,3,2,3,3,3,3,3,1,3
3,3,1,3,3,3,3,3,2,3
3,3,1,3,3,3,3,3,2,3
3,3,3,3,3,3,3,3,1,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,1,3,3,2,1,3
2,1,3,2,1,1,,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3,1
1,1,1,1,1,1,1,1,2,1
1,1,1,,1,1,1,1,1,1
1,1,1,,3,1,1,1,1,1
1,1,3,1,1,1,1,3,1,1
1,1,1,1,1,1,1,2,1,1
1,1,1,1,1,1,1,3,1,1
